	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	106	92	283	61	259
TN	1867	1860	1704	1885	1765
FP	40	47	203	22	142
FN	1022	1036	845	1067	869
PPV	0.726027397260274	0.661870503597122	0.582304526748971	0.734939759036145	0.645885286783042
NPV	0.646244375216338	0.642265193370166	0.668497449980385	0.638550135501355	0.670083523158694
Sensitivity	0.0939716312056738	0.0815602836879433	0.250886524822695	0.0540780141843972	0.229609929078014
Specificity	0.979024646040902	0.97535395909806	0.893550078657577	0.988463555322496	0.925537493445202
F1_score	0.166405023547881	0.145224940805051	0.350681536555143	0.10074318744839	0.338783518639634
MCC	0.164846757671411	0.131566154071199	0.190328625448004	0.126050967106918	0.22140855100964
